會員編號,年齡,性別,居住地區,會員等級,累積消費次數
M00100,36,男,台北市,黃金會員,25
M00101,31,女,台北市,一般會員,15
M00102,30,女,新北市,黃金會員,48
M00103,31,女,新北市,鑽石VIP,9
M00104,32,女,台北市,一般會員,44
M00105,24,女,桃園市,黃金會員,16
M00106,32,男,高雄市,黃金會員,12
M00107,29,男,台中市,黃金會員,40
M00108,34,女,台南市,一般會員,44
M00109,52,女,高雄市,白金會員,35
M00110,34,女,台北市,一般會員,33
M00111,60,女,台中市,白金會員,42
M00112,40,男,新竹市,一般會員,48
M00113,41,女,台北市,黃金會員,7
M00114,35,男,新北市,一般會員,17
M00115,60,女,高雄市,一般會員,49
M00116,34,女,新北市,黃金會員,32
M00117,26,女,新北市,一般會員,39
M00118,18,男,台中市,一般會員,47
M00119,54,女,台北市,一般會員,2
M00120,19,女,台南市,一般會員,30
M00121,25,男,新北市,一般會員,23
M00122,29,女,台南市,白金會員,48
M00123,31,不透露,台中市,黃金會員,26
M00124,41,男,新竹市,黃金會員,22
M00125,29,女,新北市,黃金會員,4
M00126,25,女,新北市,黃金會員,49
M00127,43,女,新北市,一般會員,31
M00128,54,女,台中市,一般會員,1
M00129,52,女,新北市,一般會員,23
M00130,32,男,新北市,一般會員,5
M00131,35,女,新北市,黃金會員,27
M00132,27,女,新北市,一般會員,31
M00133,40,男,台中市,黃金會員,48
M00134,18,女,台北市,一般會員,49
M00135,27,男,台北市,一般會員,23
M00136,19,女,新北市,一般會員,47
M00137,41,女,台中市,黃金會員,45
M00138,28,女,台北市,一般會員,5
M00139,38,女,新北市,一般會員,8
M00140,41,女,台北市,一般會員,29
M00141,53,女,新北市,一般會員,45
M00142,42,男,台北市,一般會員,30
M00143,31,女,桃園市,一般會員,35
M00144,42,女,新北市,鑽石VIP,47
M00145,23,女,高雄市,白金會員,41
M00146,19,男,台北市,黃金會員,28
M00147,44,女,台南市,白金會員,40
M00148,22,女,新北市,一般會員,41
M00149,32,男,台中市,一般會員,2
M00150,28,女,台北市,一般會員,19
M00151,38,女,台南市,一般會員,14
M00152,39,女,高雄市,一般會員,23
M00153,29,女,台南市,一般會員,34
M00154,36,女,新北市,黃金會員,26
M00155,29,女,新北市,白金會員,29
M00156,32,女,新竹市,一般會員,19
M00157,41,女,新北市,一般會員,42
M00158,29,女,台中市,黃金會員,44
M00159,42,男,台北市,一般會員,16
M00160,32,女,台北市,黃金會員,2
M00161,46,女,新北市,一般會員,46
M00162,43,女,台北市,黃金會員,6
M00163,55,女,台北市,一般會員,25
M00164,60,女,台中市,鑽石VIP,31
M00165,29,女,台南市,黃金會員,43
M00166,40,男,台北市,白金會員,39
M00167,40,女,台北市,一般會員,16
M00168,42,女,新北市,一般會員,20
M00169,35,女,新北市,一般會員,43
M00170,27,男,新北市,一般會員,27
M00171,24,女,新北市,一般會員,5
M00172,44,女,新竹市,一般會員,31
M00173,28,女,台南市,一般會員,5
M00174,34,女,台北市,一般會員,41
M00175,23,不透露,台北市,黃金會員,3
M00176,44,男,台北市,一般會員,32
M00177,36,女,高雄市,黃金會員,17
M00178,34,男,台北市,一般會員,23
M00179,43,男,桃園市,白金會員,42
M00180,33,女,台北市,黃金會員,8
M00181,36,女,桃園市,一般會員,32
M00182,33,女,台中市,黃金會員,8
M00183,36,女,台北市,黃金會員,5
M00184,43,女,台北市,一般會員,37
M00185,32,女,台北市,一般會員,50
M00186,36,女,台北市,黃金會員,32
M00187,32,不透露,台北市,黃金會員,48
M00188,21,男,台北市,白金會員,30
M00189,45,男,台北市,一般會員,26
M00190,43,女,高雄市,一般會員,13
M00191,27,女,台北市,一般會員,29
M00192,42,男,桃園市,一般會員,11
M00193,28,女,新北市,一般會員,3
M00194,28,男,台中市,黃金會員,40
M00195,19,不透露,台中市,一般會員,16
M00196,19,女,新北市,一般會員,10
M00197,28,男,新北市,一般會員,47
M00198,28,不透露,台北市,一般會員,48
M00199,34,男,新北市,一般會員,31
M00200,22,女,新北市,白金會員,29
M00201,20,女,桃園市,黃金會員,38
M00202,20,男,台北市,一般會員,34
M00203,22,男,高雄市,黃金會員,27
M00204,25,女,新北市,一般會員,50
M00205,23,女,台北市,白金會員,21
M00206,25,女,台北市,一般會員,38
M00207,25,男,高雄市,一般會員,9
M00208,40,不透露,台中市,一般會員,20
M00209,33,女,台中市,一般會員,42
M00210,38,男,台北市,一般會員,1
M00211,22,女,新竹市,白金會員,6
M00212,28,女,新北市,黃金會員,45
M00213,51,女,新北市,一般會員,40
M00214,29,女,台中市,白金會員,38
M00215,42,女,台北市,黃金會員,2
M00216,28,女,台北市,白金會員,34
M00217,22,男,台南市,一般會員,8
M00218,20,男,新北市,一般會員,45
M00219,38,男,台北市,一般會員,42
M00220,36,男,台北市,一般會員,36
M00221,41,男,高雄市,鑽石VIP,42
M00222,53,女,台中市,黃金會員,27
M00223,30,女,台北市,一般會員,41
M00224,20,女,新竹市,一般會員,13
M00225,32,男,新北市,一般會員,34
M00226,25,女,台中市,鑽石VIP,37
M00227,27,女,新北市,一般會員,29
M00228,36,女,新北市,一般會員,7
M00229,33,女,高雄市,一般會員,6
M00230,25,男,台南市,一般會員,25
M00231,19,女,台南市,黃金會員,49
M00232,36,女,台中市,一般會員,36
M00233,22,女,台中市,一般會員,42
M00234,20,男,桃園市,一般會員,32
M00235,28,女,台中市,黃金會員,39
M00236,40,女,新北市,一般會員,8
M00237,25,男,台北市,一般會員,34
M00238,28,女,新北市,黃金會員,40
M00239,38,女,桃園市,黃金會員,18
M00240,32,男,台南市,一般會員,6
M00241,31,不透露,高雄市,一般會員,16
M00242,38,女,台北市,一般會員,39
M00243,29,女,台中市,一般會員,44
M00244,19,不透露,桃園市,鑽石VIP,46
M00245,50,女,台中市,一般會員,35
M00246,28,女,台北市,一般會員,40
M00247,22,男,高雄市,一般會員,19
M00248,40,女,高雄市,一般會員,27
M00249,58,男,台北市,黃金會員,27
M00250,31,男,台北市,一般會員,28
M00251,18,男,高雄市,一般會員,15
M00252,60,女,新北市,一般會員,50
M00253,43,男,台北市,白金會員,23
M00254,23,男,台北市,黃金會員,37
M00255,42,不透露,台北市,白金會員,16
M00256,50,女,新北市,一般會員,6
M00257,29,不透露,台中市,白金會員,19
M00258,33,男,台北市,白金會員,29
M00259,26,女,台北市,黃金會員,44
M00260,18,男,高雄市,一般會員,33
M00261,29,女,台中市,一般會員,17
M00262,31,女,台南市,黃金會員,42
M00263,27,男,高雄市,一般會員,23
M00264,33,女,新北市,一般會員,36
M00265,35,女,台北市,一般會員,13
M00266,34,女,新北市,一般會員,3
M00267,35,女,新北市,黃金會員,25
M00268,36,女,台中市,一般會員,10
M00269,54,女,新竹市,白金會員,8
M00270,27,女,台北市,白金會員,27
M00271,40,女,新竹市,黃金會員,34
M00272,27,女,台北市,黃金會員,35
M00273,34,女,新北市,一般會員,18
M00274,44,女,新北市,白金會員,6
M00275,34,男,台北市,黃金會員,10
M00276,26,女,新北市,白金會員,13
M00277,23,男,台北市,鑽石VIP,20
M00278,56,男,台中市,白金會員,40
M00279,60,女,台北市,一般會員,29
M00280,21,女,桃園市,一般會員,41
M00281,25,女,台中市,黃金會員,27
M00282,28,男,新北市,一般會員,2
M00283,55,女,台南市,一般會員,49
M00284,30,男,高雄市,一般會員,29
M00285,34,男,台北市,黃金會員,6
M00286,43,女,新竹市,白金會員,4
M00287,19,男,新北市,白金會員,13
M00288,25,女,新北市,一般會員,44
M00289,29,不透露,新北市,一般會員,32
M00290,33,男,台北市,一般會員,10
M00291,35,女,台中市,白金會員,14
M00292,35,女,桃園市,一般會員,44
M00293,40,不透露,新竹市,一般會員,32
M00294,48,女,新北市,一般會員,12
M00295,36,男,新北市,一般會員,25
M00296,24,男,新北市,白金會員,12
M00297,30,男,台北市,白金會員,12
M00298,25,女,台北市,一般會員,39
M00299,42,女,高雄市,一般會員,44
M00300,30,女,新北市,黃金會員,17
M00301,33,男,台中市,一般會員,29
M00302,42,女,台北市,一般會員,30
M00303,59,男,台北市,黃金會員,11
M00304,28,不透露,台中市,一般會員,2
M00305,47,女,台南市,鑽石VIP,28
M00306,41,男,高雄市,白金會員,8
M00307,29,女,台北市,一般會員,33
M00308,44,女,台北市,白金會員,34
M00309,41,男,台北市,一般會員,17
M00310,60,女,桃園市,白金會員,12
M00311,28,男,台中市,白金會員,20
M00312,37,女,新北市,黃金會員,32
M00313,20,女,台南市,黃金會員,48
M00314,25,男,台南市,黃金會員,25
M00315,33,女,台南市,一般會員,25
M00316,42,女,台中市,一般會員,4
M00317,29,女,台北市,白金會員,24
M00318,30,女,台北市,一般會員,24
M00319,37,男,台中市,一般會員,25
M00320,24,男,新竹市,一般會員,27
M00321,30,男,高雄市,一般會員,43
M00322,31,女,新北市,鑽石VIP,37
M00323,43,女,高雄市,鑽石VIP,30
M00324,36,男,台中市,一般會員,31
M00325,27,男,新北市,一般會員,44
M00326,33,女,台北市,一般會員,50
M00327,38,女,台南市,黃金會員,22
M00328,32,女,台北市,黃金會員,25
M00329,31,男,台北市,白金會員,21
M00330,26,男,台北市,黃金會員,1
M00331,29,男,桃園市,黃金會員,13
M00332,27,男,高雄市,黃金會員,11
M00333,43,男,台南市,鑽石VIP,32
M00334,43,男,台北市,黃金會員,4
M00335,32,女,台中市,一般會員,8
M00336,27,男,新竹市,一般會員,20
M00337,18,女,台北市,一般會員,46
M00338,34,男,高雄市,一般會員,41
M00339,34,女,新北市,鑽石VIP,4
M00340,19,女,新北市,一般會員,8
M00341,27,女,台中市,鑽石VIP,22
M00342,40,女,台中市,一般會員,7
M00343,26,女,台南市,一般會員,40
M00344,39,女,新北市,白金會員,15
M00345,42,女,桃園市,一般會員,23
M00346,32,女,台中市,一般會員,7
M00347,41,女,台北市,黃金會員,21
M00348,27,女,台南市,一般會員,12
M00349,53,女,台北市,一般會員,4
M00350,33,男,新北市,一般會員,47
M00351,31,不透露,新北市,一般會員,21
M00352,28,男,台北市,一般會員,24
M00353,22,女,新北市,白金會員,22
M00354,33,女,台南市,一般會員,38
M00355,29,女,台中市,一般會員,44
M00356,43,男,台北市,一般會員,14
M00357,51,女,高雄市,一般會員,23
M00358,30,女,台北市,一般會員,5
M00359,31,女,台北市,一般會員,35
M00360,32,男,台北市,黃金會員,49
M00361,34,男,新北市,一般會員,15
M00362,38,女,新北市,一般會員,31
M00363,57,女,高雄市,白金會員,50
M00364,57,男,台中市,鑽石VIP,14
M00365,35,男,新北市,一般會員,13
M00366,43,女,台中市,一般會員,26
M00367,47,女,台北市,黃金會員,35
M00368,43,男,新北市,一般會員,3
M00369,20,不透露,台北市,鑽石VIP,20
M00370,57,女,台中市,一般會員,43
M00371,48,女,台北市,鑽石VIP,48
M00372,26,女,台中市,黃金會員,40
M00373,26,不透露,台中市,黃金會員,6
M00374,28,不透露,新北市,一般會員,33
M00375,33,不透露,台南市,黃金會員,34
M00376,43,女,桃園市,鑽石VIP,23
M00377,33,女,台北市,黃金會員,3
M00378,36,女,台北市,一般會員,33
M00379,39,女,台南市,白金會員,26
M00380,24,男,新北市,黃金會員,32
M00381,25,女,桃園市,一般會員,2
M00382,41,女,新北市,一般會員,36
M00383,51,女,台北市,黃金會員,36
M00384,33,女,高雄市,一般會員,23
M00385,20,女,新北市,一般會員,9
M00386,30,女,高雄市,一般會員,12
M00387,31,男,高雄市,黃金會員,15
M00388,31,女,台北市,一般會員,25
M00389,19,女,台中市,黃金會員,32
M00390,24,不透露,台北市,一般會員,28
M00391,39,女,台北市,一般會員,36
M00392,44,男,新北市,白金會員,13
M00393,30,男,台南市,一般會員,48
M00394,30,男,台北市,一般會員,34
M00395,34,女,台北市,白金會員,17
M00396,21,不透露,桃園市,白金會員,27
M00397,41,不透露,台北市,一般會員,31
M00398,26,男,新北市,黃金會員,27
M00399,43,女,台中市,黃金會員,36
M00400,29,不透露,台北市,鑽石VIP,20
M00401,46,男,新北市,一般會員,48
M00402,31,女,台北市,一般會員,42
M00403,32,女,台北市,一般會員,35
M00404,40,女,新北市,一般會員,7
M00405,23,女,新北市,鑽石VIP,40
M00406,26,不透露,台南市,黃金會員,17
M00407,43,女,桃園市,鑽石VIP,36
M00408,43,男,台中市,一般會員,10
M00409,37,女,台中市,鑽石VIP,1
M00410,34,女,台北市,一般會員,27
M00411,50,男,新北市,一般會員,45
M00412,29,女,台南市,白金會員,26
M00413,28,不透露,台南市,鑽石VIP,35
M00414,37,女,新北市,一般會員,6
M00415,34,女,新北市,白金會員,10
M00416,28,男,新北市,白金會員,34
M00417,32,女,新北市,一般會員,16
M00418,31,男,桃園市,一般會員,29
M00419,25,女,台中市,黃金會員,42
M00420,38,女,台北市,一般會員,7
M00421,38,女,台中市,一般會員,44
M00422,32,男,新北市,一般會員,1
M00423,35,女,高雄市,白金會員,29
M00424,33,女,新北市,一般會員,40
M00425,60,女,高雄市,白金會員,29
M00426,30,男,台北市,黃金會員,47
M00427,32,不透露,台北市,黃金會員,30
M00428,34,女,高雄市,一般會員,36
M00429,30,女,新北市,一般會員,4
M00430,40,女,台北市,黃金會員,44
M00431,34,不透露,桃園市,一般會員,28
M00432,57,女,高雄市,黃金會員,48
M00433,35,男,新竹市,一般會員,46
M00434,25,男,台中市,黃金會員,28
M00435,42,女,台中市,一般會員,38
M00436,21,女,台北市,黃金會員,13
M00437,50,女,台南市,黃金會員,49
M00438,26,女,台南市,白金會員,10
M00439,41,女,新北市,一般會員,30
M00440,35,男,台南市,一般會員,1
M00441,34,男,台南市,黃金會員,27
M00442,19,男,新北市,一般會員,34
M00443,29,女,台北市,白金會員,6
M00444,34,女,新北市,一般會員,45
M00445,40,女,台中市,一般會員,27
M00446,34,男,台南市,一般會員,45
M00447,22,女,新竹市,一般會員,37
M00448,18,女,新北市,白金會員,5
M00449,28,女,新北市,一般會員,31
M00450,29,女,新北市,白金會員,14
M00451,35,男,台北市,一般會員,11
M00452,32,女,桃園市,黃金會員,21
M00453,44,男,台中市,白金會員,44
M00454,24,男,高雄市,白金會員,43
M00455,34,女,台南市,黃金會員,26
M00456,48,不透露,新北市,白金會員,48
M00457,34,女,台北市,一般會員,33
M00458,39,女,台北市,一般會員,49
M00459,33,不透露,台中市,一般會員,14
M00460,35,女,台南市,鑽石VIP,19
M00461,27,女,台中市,黃金會員,4
M00462,24,女,台中市,黃金會員,15
M00463,32,男,新竹市,一般會員,17
M00464,30,女,新北市,一般會員,40
M00465,30,女,台北市,黃金會員,11
M00466,48,女,台北市,一般會員,3
M00467,39,男,台北市,白金會員,19
M00468,38,女,桃園市,黃金會員,11
M00469,34,男,高雄市,一般會員,18
M00470,34,女,新北市,黃金會員,36
M00471,35,男,台中市,一般會員,28
M00472,39,女,台北市,黃金會員,1
M00473,36,男,高雄市,黃金會員,13
M00474,36,不透露,台北市,白金會員,33
M00475,30,女,高雄市,黃金會員,38
M00476,23,女,台北市,白金會員,42
M00477,58,女,新北市,一般會員,8
M00478,41,女,新北市,鑽石VIP,32
M00479,48,女,新北市,黃金會員,27
M00480,33,不透露,台北市,一般會員,17
M00481,18,女,台北市,一般會員,36
M00482,23,女,台中市,鑽石VIP,6
M00483,51,男,桃園市,黃金會員,42
M00484,23,女,桃園市,鑽石VIP,28
M00485,29,女,新北市,一般會員,37
M00486,23,男,台南市,一般會員,9
M00487,41,男,新北市,一般會員,7
M00488,38,男,新北市,白金會員,17
M00489,32,女,新北市,黃金會員,35
M00490,32,男,新北市,鑽石VIP,41
M00491,23,男,高雄市,白金會員,25
M00492,31,男,台中市,一般會員,23
M00493,21,女,台北市,黃金會員,7
M00494,45,女,台南市,一般會員,14
M00495,46,女,台北市,白金會員,10
M00496,22,女,台北市,一般會員,35
M00497,22,男,台北市,黃金會員,13
M00498,27,女,台北市,黃金會員,44
M00499,35,男,台北市,一般會員,40
M00500,23,女,台北市,一般會員,11
M00501,43,女,新北市,白金會員,6
M00502,27,女,高雄市,一般會員,1
M00503,52,男,新北市,一般會員,20
M00504,26,女,新北市,黃金會員,30
M00505,21,男,桃園市,一般會員,33
M00506,26,女,台北市,一般會員,26
M00507,32,男,台北市,黃金會員,47
M00508,34,女,台中市,一般會員,24
M00509,51,女,台中市,白金會員,40
M00510,41,男,新北市,黃金會員,22
M00511,40,男,台北市,一般會員,42
M00512,44,女,新竹市,黃金會員,40
M00513,33,女,台中市,白金會員,40
M00514,38,男,新北市,一般會員,48
M00515,32,男,台中市,黃金會員,24
M00516,37,男,台南市,一般會員,43
M00517,19,男,新北市,鑽石VIP,13
M00518,21,女,高雄市,一般會員,10
M00519,51,女,台北市,白金會員,38
M00520,25,女,台北市,黃金會員,14
M00521,28,女,高雄市,一般會員,16
M00522,25,女,高雄市,一般會員,21
M00523,57,女,高雄市,黃金會員,30
M00524,37,女,台北市,白金會員,37
M00525,34,女,台北市,一般會員,3
M00526,49,女,新北市,一般會員,27
M00527,27,女,台北市,白金會員,10
M00528,32,女,桃園市,白金會員,1
M00529,44,男,台北市,黃金會員,11
M00530,44,女,台北市,黃金會員,38
M00531,28,女,高雄市,一般會員,17
M00532,30,女,新北市,一般會員,31
M00533,36,女,高雄市,一般會員,5
M00534,30,女,新北市,黃金會員,12
M00535,27,女,新北市,一般會員,7
M00536,22,男,台北市,一般會員,44
M00537,25,女,台南市,白金會員,32
M00538,30,女,台南市,白金會員,45
M00539,44,女,台北市,一般會員,1
M00540,34,女,高雄市,黃金會員,48
M00541,35,女,台中市,白金會員,25
M00542,60,女,新竹市,一般會員,1
M00543,29,女,台北市,一般會員,43
M00544,28,不透露,台北市,一般會員,1
M00545,19,男,台南市,黃金會員,13
M00546,37,女,台北市,白金會員,50
M00547,18,男,台中市,黃金會員,39
M00548,35,女,新北市,一般會員,41
M00549,21,女,台北市,一般會員,31
M00550,25,男,台中市,鑽石VIP,38
M00551,42,男,台北市,一般會員,37
M00552,31,女,台南市,鑽石VIP,17
M00553,18,女,台中市,一般會員,24
M00554,19,女,新北市,鑽石VIP,35
M00555,40,女,桃園市,一般會員,44
M00556,45,女,台南市,黃金會員,45
M00557,32,男,台北市,一般會員,20
M00558,41,女,新竹市,黃金會員,37
M00559,40,女,台南市,鑽石VIP,25
M00560,26,男,台北市,黃金會員,2
M00561,40,不透露,新北市,黃金會員,6
M00562,28,女,台南市,一般會員,49
M00563,26,女,台南市,黃金會員,18
M00564,25,女,台南市,黃金會員,7
M00565,30,女,新竹市,一般會員,36
M00566,43,女,台南市,一般會員,5
M00567,33,不透露,新北市,白金會員,32
M00568,19,女,台北市,黃金會員,43
M00569,40,女,台中市,黃金會員,41
M00570,31,男,台北市,黃金會員,29
M00571,40,女,台中市,黃金會員,2
M00572,60,女,新北市,白金會員,41
M00573,35,女,新北市,一般會員,4
M00574,28,女,新北市,一般會員,16
M00575,29,女,新竹市,一般會員,4
M00576,39,女,台中市,黃金會員,24
M00577,41,女,高雄市,一般會員,37
M00578,35,女,高雄市,一般會員,38
M00579,43,男,新北市,黃金會員,6
M00580,24,女,台中市,一般會員,24
M00581,32,女,台北市,一般會員,2
M00582,56,不透露,台北市,一般會員,6
M00583,27,女,台南市,黃金會員,45
M00584,33,女,新北市,黃金會員,31
M00585,18,女,高雄市,一般會員,3
M00586,34,男,新北市,一般會員,24
M00587,22,女,新北市,一般會員,14
M00588,40,女,台北市,一般會員,1
M00589,22,女,台北市,一般會員,10
M00590,30,女,台北市,白金會員,9
M00591,22,女,台北市,一般會員,31
M00592,34,不透露,高雄市,黃金會員,10
M00593,49,男,台中市,鑽石VIP,20
M00594,23,女,台北市,黃金會員,23
M00595,31,女,台北市,一般會員,33
M00596,37,女,新竹市,一般會員,34
M00597,35,男,新北市,鑽石VIP,35
M00598,33,女,桃園市,一般會員,45
M00599,18,女,高雄市,黃金會員,14
M00600,40,女,新北市,黃金會員,50
M00601,44,女,高雄市,黃金會員,26
M00602,31,女,台中市,白金會員,21
M00603,38,女,新北市,一般會員,27
M00604,41,女,高雄市,一般會員,50
M00605,20,男,台北市,一般會員,47
M00606,40,男,高雄市,一般會員,10
M00607,41,女,台北市,一般會員,21
M00608,34,女,台北市,黃金會員,3
M00609,32,男,台南市,鑽石VIP,4
M00610,32,女,新北市,鑽石VIP,19
M00611,27,女,新北市,黃金會員,24
M00612,28,不透露,台南市,白金會員,32
M00613,24,男,台北市,一般會員,40
M00614,38,女,新北市,一般會員,28
M00615,42,女,台北市,一般會員,38
M00616,39,女,台中市,黃金會員,50
M00617,29,男,台中市,黃金會員,27
M00618,46,女,新北市,黃金會員,17
M00619,44,女,新竹市,白金會員,4
M00620,21,女,新北市,一般會員,41
M00621,38,女,新北市,一般會員,11
M00622,25,女,新北市,白金會員,40
M00623,35,女,台南市,黃金會員,35
M00624,36,女,台南市,黃金會員,23
M00625,30,女,台北市,黃金會員,36
M00626,21,女,台中市,一般會員,38
M00627,42,女,台中市,一般會員,26
M00628,35,女,新北市,黃金會員,29
M00629,33,女,新竹市,一般會員,32
M00630,19,女,新北市,一般會員,24
M00631,33,女,新竹市,黃金會員,25
M00632,27,男,台中市,一般會員,49
M00633,34,男,台南市,白金會員,38
M00634,53,男,台北市,黃金會員,12
M00635,32,女,台北市,鑽石VIP,43
M00636,32,女,台北市,黃金會員,34
M00637,27,女,台北市,黃金會員,42
M00638,31,女,新北市,黃金會員,49
M00639,35,女,桃園市,白金會員,41
M00640,30,女,新北市,白金會員,26
M00641,26,女,台北市,白金會員,45
M00642,37,女,新北市,一般會員,3
M00643,25,男,台中市,鑽石VIP,29
M00644,32,女,台北市,黃金會員,21
M00645,25,男,桃園市,黃金會員,23
M00646,19,女,台南市,黃金會員,4
M00647,25,女,台南市,一般會員,23
M00648,32,女,台中市,黃金會員,4
M00649,31,男,台北市,一般會員,17
M00650,25,女,台中市,白金會員,22
M00651,37,女,新竹市,一般會員,38
M00652,31,男,台南市,白金會員,37
M00653,26,女,高雄市,一般會員,12
M00654,30,女,新竹市,一般會員,4
M00655,50,女,高雄市,一般會員,15
M00656,37,男,台中市,白金會員,3
M00657,31,女,台北市,黃金會員,22
M00658,42,男,高雄市,白金會員,43
M00659,18,女,新北市,黃金會員,9
M00660,34,女,高雄市,一般會員,3
M00661,37,女,台北市,白金會員,36
M00662,20,不透露,台北市,一般會員,4
M00663,38,男,新北市,一般會員,12
M00664,23,女,新北市,一般會員,21
M00665,32,女,高雄市,一般會員,10
M00666,28,女,台中市,一般會員,24
M00667,29,女,台南市,一般會員,27
M00668,46,男,桃園市,一般會員,8
M00669,43,女,高雄市,一般會員,33
M00670,23,女,台北市,一般會員,46
M00671,34,女,高雄市,鑽石VIP,34
M00672,32,女,新竹市,一般會員,20
M00673,43,男,桃園市,一般會員,46
M00674,38,女,新竹市,一般會員,27
M00675,44,女,桃園市,黃金會員,7
M00676,29,不透露,台北市,一般會員,39
M00677,19,男,新竹市,一般會員,30
M00678,23,男,台南市,一般會員,44
M00679,37,不透露,台北市,一般會員,40
M00680,40,女,台中市,一般會員,3
M00681,22,女,台北市,黃金會員,46
M00682,29,女,高雄市,黃金會員,29
M00683,26,女,高雄市,鑽石VIP,50
M00684,24,女,台北市,一般會員,12
M00685,34,女,新北市,白金會員,9
M00686,44,女,新北市,一般會員,49
M00687,27,女,台南市,鑽石VIP,4
M00688,35,女,台南市,鑽石VIP,29
M00689,42,女,桃園市,黃金會員,20
M00690,27,女,台北市,黃金會員,32
M00691,31,女,新竹市,一般會員,50
M00692,29,男,高雄市,白金會員,36
M00693,32,男,桃園市,白金會員,1
M00694,44,男,台北市,一般會員,47
M00695,31,女,高雄市,一般會員,23
M00696,33,男,新北市,一般會員,19
M00697,40,男,台南市,一般會員,6
M00698,44,男,台南市,一般會員,12
M00699,29,女,台北市,黃金會員,19
M00700,27,男,台北市,一般會員,38
M00701,27,女,台北市,一般會員,17
M00702,33,女,新北市,一般會員,29
M00703,19,女,台中市,黃金會員,29
M00704,28,女,台北市,一般會員,20
M00705,22,女,新北市,一般會員,24
