日期,訂單編號,會員編號,商品分類,商品名稱,結帳金額,付款方式
2026-04-25 08:10,SA-306366,M00782,3C家電,Nintendo Switch,9348,超商貨到付款
2026-04-12 00:19,SA-481782,M00507,服飾配件,Ray-Ban 飛行員太陽眼鏡,5448,LinePay
2026-04-26 07:36,SA-772365,M01127,美妝保養,資生堂 百優精純乳霜,2522,信用卡
2026-04-15 21:58,SA-802963,M01489,3C家電,iPhone 15 Pro,33596,LinePay
2026-04-28 13:38,SA-419146,M00788,服飾配件,G-Shock 經典運動錶,3178,LinePay
2026-04-06 02:15,SA-885408,M00607,3C家電,Nintendo Switch,9375,LinePay
2026-04-29 03:57,SA-351499,M00938,美妝保養,SK-II 青春露,5776,超商貨到付款
2026-04-05 21:52,SA-607937,M01165,美妝保養,雅詩蘭黛 小棕瓶,4065,LinePay
2026-04-27 05:01,SA-600821,M00083,美妝保養,資生堂 百優精純乳霜,2526,街口支付
2026-04-26 19:28,SA-286670,M00851,美妝保養,雅詩蘭黛 小棕瓶,4100,街口支付
2026-04-10 07:32,SA-898744,M01192,3C家電,Nintendo Switch,9748,LinePay
2026-04-26 18:20,SA-101569,M00010,美妝保養,SK-II 青春露,5802,信用卡
2026-04-15 16:17,SA-777963,M01229,服飾配件,Levi's 501牛仔褲,3956,信用卡
2026-04-08 02:17,SA-109424,M01269,美妝保養,蘭蔻 極光水,3539,ATM轉帳
2026-04-02 06:35,SA-911948,M00973,服飾配件,Nike Air Force 1,3173,ATM轉帳
2026-04-26 03:48,SA-638704,M00318,母嬰用品,Joie 輕量雙向推車,6586,信用卡
2026-04-19 21:53,SA-349302,M00667,母嬰用品,幫寶適 一級幫紙尿褲(箱),1487,超商貨到付款
2026-04-10 16:15,SA-270704,M00447,3C家電,iPhone 15 Pro,33410,信用卡
2026-04-10 13:41,SA-843207,M00796,3C家電,LG 掃地機器人,14690,LinePay
2026-04-19 02:49,SA-568028,M00883,3C家電,Dyson 吹風機,13910,信用卡
2026-04-25 04:25,SA-793840,M00387,美妝保養,蘭蔻 極光水,3446,超商貨到付款
2026-04-25 14:22,SA-897931,M00305,生活居家,無印良品 PP收納盒,419,信用卡
2026-04-30 08:28,SA-880437,M00024,服飾配件,Nike Air Force 1,3237,LinePay
2026-04-21 12:17,SA-223694,M00769,服飾配件,Ray-Ban 飛行員太陽眼鏡,5065,LinePay
2026-04-23 19:35,SA-801992,M00801,母嬰用品,明治 金選奶粉,717,信用卡
2026-04-21 10:57,SA-894313,M01291,3C家電,Sony 降噪耳機,9924,街口支付
2026-04-15 06:28,SA-917727,M00426,母嬰用品,明治 金選奶粉,710,街口支付
2026-04-17 19:57,SA-446836,M01500,服飾配件,Nike Air Force 1,3326,街口支付
2026-04-20 18:45,SA-236296,M00767,生活居家,無印良品 PP收納盒,439,LinePay
2026-04-04 11:41,SA-353991,M00238,生活居家,TOTO 溫水洗淨便座,9136,信用卡
2026-04-21 12:04,SA-222536,M00385,美妝保養,雅詩蘭黛 小棕瓶,3986,信用卡
2026-04-17 17:42,SA-952280,M01459,服飾配件,Levi's 501牛仔褲,3703,街口支付
2026-04-08 14:37,SA-313309,M00456,服飾配件,Uniqlo 極暖發熱衣,734,LinePay
2026-04-29 12:57,SA-462419,M00262,服飾配件,Uniqlo 極暖發熱衣,720,街口支付
2026-04-15 20:30,SA-452645,M00857,美妝保養,資生堂 百優精純乳霜,2609,街口支付
2026-04-25 13:06,SA-828388,M00047,3C家電,Sony 降噪耳機,10534,超商貨到付款
2026-04-06 03:30,SA-592682,M00479,生活居家,無印良品 PP收納盒,424,超商貨到付款
2026-04-02 02:36,SA-461831,M00433,服飾配件,Levi's 501牛仔褲,3741,信用卡
2026-04-08 09:25,SA-646992,M00870,美妝保養,雅詩蘭黛 小棕瓶,4067,信用卡
2026-04-22 09:12,SA-834824,M01445,美妝保養,SK-II 青春露,6091,超商貨到付款
2026-04-24 16:42,SA-575295,M00747,3C家電,Apple Watch S9,12932,信用卡
2026-04-06 19:05,SA-819486,M00407,3C家電,iPhone 15 Pro,36296,信用卡
2026-04-15 07:55,SA-475857,M00021,生活居家,宜得利 N-COOL涼感床墊,1272,信用卡
2026-04-08 17:20,SA-412319,M01059,3C家電,iPhone 15 Pro,33753,信用卡
2026-04-08 13:29,SA-293995,M00980,3C家電,Dyson 吹風機,14372,信用卡
2026-04-16 00:15,SA-317469,M00158,美妝保養,蘭蔻 極光水,3514,超商貨到付款
2026-04-27 07:10,SA-364811,M00513,生活居家,TOTO 溫水洗淨便座,9466,超商貨到付款
2026-04-13 13:46,SA-540034,M00309,服飾配件,Uniqlo 極暖發熱衣,739,信用卡
2026-04-07 03:45,SA-628413,M01470,服飾配件,Ray-Ban 飛行員太陽眼鏡,5120,LinePay
2026-04-22 16:34,SA-105056,M01112,生活居家,宜得利 N-COOL涼感床墊,1238,信用卡
2026-04-15 19:33,SA-689545,M01230,生活居家,舒潔 抽取式衛生紙(箱),874,街口支付
2026-04-25 02:07,SA-481013,M01314,3C家電,Dyson 吹風機,13207,信用卡
2026-04-11 03:22,SA-491574,M01415,3C家電,Sony 降噪耳機,10237,LinePay
2026-04-23 06:13,SA-853490,M00552,服飾配件,Nike Air Force 1,3116,街口支付
2026-04-11 17:28,SA-209563,M01246,美妝保養,資生堂 百優精純乳霜,2627,LinePay
2026-04-02 17:27,SA-907995,M00418,母嬰用品,明治 金選奶粉,683,LinePay
2026-04-20 08:31,SA-976758,M01093,服飾配件,Nike Air Force 1,3350,LinePay
2026-04-01 07:12,SA-133512,M00890,3C家電,Sony 降噪耳機,10456,信用卡
2026-04-18 11:41,SA-997249,M01321,3C家電,Sony 降噪耳機,10299,街口支付
2026-04-15 20:22,SA-887563,M00849,服飾配件,Levi's 501牛仔褲,3979,信用卡
2026-04-03 18:56,SA-618400,M00777,服飾配件,Ray-Ban 飛行員太陽眼鏡,5350,街口支付
2026-04-13 10:36,SA-833960,M00248,3C家電,Apple Watch S9,13325,LinePay
2026-04-11 23:29,SA-520270,M00935,生活居家,TOTO 溫水洗淨便座,9728,街口支付
2026-04-01 05:40,SA-442206,M00925,生活居家,TOTO 溫水洗淨便座,9629,信用卡
2026-04-07 11:22,SA-430785,M00282,服飾配件,G-Shock 經典運動錶,3171,超商貨到付款
2026-04-06 12:43,SA-383663,M00793,服飾配件,Uniqlo 極暖發熱衣,726,LinePay
2026-04-28 07:21,SA-109754,M00308,保健食品,桂格 大燕麥片,228,信用卡
2026-04-18 12:03,SA-824149,M00704,美妝保養,蘭蔻 極光水,3358,ATM轉帳
2026-04-27 22:27,SA-768277,M00500,3C家電,LG 掃地機器人,15640,信用卡
2026-04-15 13:34,SA-678774,M00579,母嬰用品,Combi 奶瓶消毒鍋,3055,信用卡
2026-04-26 18:26,SA-526904,M00542,3C家電,Dyson 吹風機,14151,街口支付
2026-04-20 01:48,SA-712027,M01026,美妝保養,理膚寶水 B5全面修復霜,810,信用卡
2026-04-16 00:47,SA-412740,M01260,3C家電,iPhone 15 Pro,33632,信用卡
2026-04-18 12:48,SA-290372,M01051,3C家電,Dyson 吹風機,13531,信用卡
2026-04-30 12:23,SA-836248,M00131,美妝保養,SK-II 青春露,5666,LinePay
2026-04-19 14:29,SA-142913,M00457,保健食品,桂格 大燕麥片,232,信用卡
2026-04-06 16:27,SA-262433,M00055,美妝保養,雅詩蘭黛 小棕瓶,3871,超商貨到付款
2026-04-11 10:15,SA-680697,M00726,美妝保養,雅詩蘭黛 小棕瓶,4150,ATM轉帳
2026-04-25 10:48,SA-729322,M01297,生活居家,舒潔 抽取式衛生紙(箱),862,超商貨到付款
2026-04-10 19:15,SA-519667,M00869,保健食品,桂格 大燕麥片,233,街口支付
2026-04-10 00:56,SA-326210,M01177,3C家電,Sony 降噪耳機,9951,信用卡
2026-04-21 06:59,SA-672301,M00767,美妝保養,資生堂 百優精純乳霜,2772,信用卡
2026-04-23 10:26,SA-121404,M00750,美妝保養,SK-II 青春露,5985,信用卡
2026-04-26 20:32,SA-633448,M00599,生活居家,3M 淨水器濾心,2411,超商貨到付款
2026-04-04 01:14,SA-866387,M01379,生活居家,TOTO 溫水洗淨便座,9044,LinePay
2026-04-07 16:33,SA-817044,M00984,生活居家,3M 淨水器濾心,2425,街口支付
2026-04-25 08:47,SA-110918,M00956,美妝保養,理膚寶水 B5全面修復霜,853,信用卡
2026-04-28 12:11,SA-868269,M00789,服飾配件,Nike Air Force 1,3336,信用卡
2026-04-02 18:49,SA-127896,M00572,母嬰用品,幫寶適 一級幫紙尿褲(箱),1457,信用卡
2026-04-18 10:43,SA-180976,M00583,美妝保養,資生堂 百優精純乳霜,2592,信用卡
2026-04-14 01:32,SA-565155,M01420,3C家電,Nintendo Switch,9215,信用卡
2026-04-23 08:53,SA-218463,M00989,3C家電,iPhone 15 Pro,35779,信用卡
2026-04-11 18:31,SA-784279,M00632,母嬰用品,Joie 輕量雙向推車,6394,LinePay
2026-04-07 07:14,SA-529783,M00875,美妝保養,雅詩蘭黛 小棕瓶,4110,街口支付
2026-04-23 17:35,SA-490935,M00005,服飾配件,Uniqlo 極暖發熱衣,748,超商貨到付款
2026-04-16 23:54,SA-112384,M00960,服飾配件,Levi's 501牛仔褲,3788,街口支付
2026-04-14 18:17,SA-836560,M00804,3C家電,Apple Watch S9,12503,街口支付
2026-04-19 02:17,SA-267013,M00808,服飾配件,Nike Air Force 1,3223,信用卡
2026-04-30 09:02,SA-340759,M00183,服飾配件,Levi's 501牛仔褲,3605,LinePay
2026-04-09 11:16,SA-393367,M00005,美妝保養,資生堂 百優精純乳霜,2735,LinePay
2026-04-23 20:36,SA-690798,M00642,服飾配件,G-Shock 經典運動錶,3175,信用卡
2026-04-30 17:35,SA-882170,M01478,母嬰用品,Joie 輕量雙向推車,6240,超商貨到付款
2026-04-10 15:16,SA-478151,M00818,服飾配件,Nike Air Force 1,3142,超商貨到付款
2026-04-01 01:28,SA-414786,M00139,保健食品,善存 綜合維他命,936,街口支付
2026-04-19 02:00,SA-104782,M01481,3C家電,Nintendo Switch,9644,超商貨到付款
2026-04-23 15:14,SA-190421,M00319,3C家電,iPhone 15 Pro,34606,LinePay
2026-04-21 01:59,SA-860030,M01326,生活居家,TOTO 溫水洗淨便座,9525,街口支付
2026-04-04 16:22,SA-527229,M00932,服飾配件,Levi's 501牛仔褲,3739,LinePay
2026-04-14 09:50,SA-372058,M00545,服飾配件,Nike Air Force 1,3141,街口支付
2026-04-21 23:06,SA-667708,M00385,保健食品,桂格 大燕麥片,227,信用卡
2026-04-01 01:53,SA-464849,M00663,3C家電,Sony 降噪耳機,10423,超商貨到付款
2026-04-25 18:17,SA-412020,M00442,3C家電,Dyson 吹風機,14189,信用卡
2026-04-21 17:24,SA-561478,M00423,服飾配件,Nike Air Force 1,3250,LinePay
2026-04-27 20:58,SA-992524,M00421,3C家電,Dyson 吹風機,14170,信用卡
2026-04-28 18:18,SA-751745,M01166,美妝保養,理膚寶水 B5全面修復霜,796,超商貨到付款
2026-04-16 02:22,SA-388119,M00746,保健食品,桂格 大燕麥片,223,信用卡
2026-04-03 20:26,SA-524339,M00331,母嬰用品,明治 金選奶粉,686,信用卡
2026-04-24 14:46,SA-273016,M00143,服飾配件,G-Shock 經典運動錶,3099,信用卡
2026-04-20 20:22,SA-791049,M00086,美妝保養,理膚寶水 B5全面修復霜,819,超商貨到付款
2026-04-30 14:42,SA-109941,M01451,服飾配件,Uniqlo 極暖發熱衣,720,信用卡
2026-04-01 06:13,SA-931394,M00352,美妝保養,SK-II 青春露,6215,信用卡
2026-04-16 16:29,SA-671979,M00764,服飾配件,Uniqlo 極暖發熱衣,722,超商貨到付款
2026-04-09 18:20,SA-483317,M00043,3C家電,LG 掃地機器人,14773,信用卡
2026-04-26 09:37,SA-103078,M00760,美妝保養,理膚寶水 B5全面修復霜,798,信用卡
2026-04-29 08:36,SA-794712,M00627,生活居家,3M 淨水器濾心,2348,街口支付
2026-04-10 08:59,SA-231350,M00690,3C家電,LG 掃地機器人,15375,信用卡
2026-04-07 14:32,SA-459534,M00790,3C家電,iPhone 15 Pro,35229,信用卡
2026-04-09 01:13,SA-732107,M01478,服飾配件,Uniqlo 極暖發熱衣,742,LinePay
2026-04-17 11:11,SA-880783,M00278,服飾配件,Ray-Ban 飛行員太陽眼鏡,5103,信用卡
2026-04-24 07:08,SA-610800,M01451,美妝保養,雅詩蘭黛 小棕瓶,4167,信用卡
2026-04-30 11:23,SA-402439,M00829,服飾配件,Levi's 501牛仔褲,3614,信用卡
2026-04-30 02:22,SA-163475,M01180,美妝保養,雅詩蘭黛 小棕瓶,3849,信用卡
2026-04-23 07:47,SA-994814,M01362,服飾配件,Levi's 501牛仔褲,3710,街口支付
2026-04-06 08:10,SA-603389,M01366,服飾配件,Ray-Ban 飛行員太陽眼鏡,5191,LinePay
2026-04-30 18:15,SA-312339,M00915,母嬰用品,Combi 奶瓶消毒鍋,2970,ATM轉帳
2026-04-17 17:10,SA-913569,M00462,美妝保養,資生堂 百優精純乳霜,2637,LinePay
2026-04-12 12:12,SA-784492,M00785,母嬰用品,Combi 奶瓶消毒鍋,3068,信用卡
2026-04-12 12:55,SA-541708,M00259,美妝保養,資生堂 百優精純乳霜,2561,信用卡
2026-04-19 19:37,SA-814423,M00496,生活居家,無印良品 PP收納盒,405,LinePay
2026-04-16 06:15,SA-462232,M01325,生活居家,宜得利 N-COOL涼感床墊,1284,信用卡
2026-04-08 11:01,SA-217966,M00466,母嬰用品,Combi 奶瓶消毒鍋,3051,信用卡
2026-04-13 16:12,SA-674157,M01193,3C家電,Sony 降噪耳機,10317,信用卡
2026-04-29 18:21,SA-886416,M01398,母嬰用品,明治 金選奶粉,720,信用卡
2026-04-28 00:18,SA-356674,M00147,服飾配件,Ray-Ban 飛行員太陽眼鏡,5240,超商貨到付款
2026-04-21 04:26,SA-166208,M01415,3C家電,Dyson 吹風機,14126,信用卡
2026-04-03 01:57,SA-760847,M00506,美妝保養,SK-II 青春露,5662,超商貨到付款
2026-04-12 12:07,SA-416136,M00591,3C家電,Sony 降噪耳機,10830,信用卡
2026-04-20 06:05,SA-930724,M00228,3C家電,Dyson 吹風機,14183,信用卡
2026-04-09 05:37,SA-770190,M00882,美妝保養,雅詩蘭黛 小棕瓶,3890,LinePay
2026-04-10 14:02,SA-791891,M01432,服飾配件,Levi's 501牛仔褲,3689,信用卡
2026-04-04 10:28,SA-207327,M00990,生活居家,舒潔 抽取式衛生紙(箱),815,LinePay
2026-04-12 15:18,SA-705648,M01258,保健食品,善存 綜合維他命,863,信用卡
2026-04-10 23:20,SA-867048,M00301,美妝保養,蘭蔻 極光水,3487,信用卡
2026-04-01 07:00,SA-915901,M00854,保健食品,娘家 益生菌,1112,LinePay
2026-04-05 14:40,SA-801439,M00414,服飾配件,Uniqlo 極暖發熱衣,717,信用卡
2026-04-21 01:33,SA-507941,M00558,母嬰用品,Combi 奶瓶消毒鍋,3195,LinePay
2026-04-24 15:24,SA-834892,M01331,3C家電,Sony 降噪耳機,10796,信用卡
2026-04-21 23:39,SA-710210,M00083,服飾配件,G-Shock 經典運動錶,3144,信用卡
2026-04-03 05:20,SA-569977,M00222,服飾配件,G-Shock 經典運動錶,3100,信用卡
2026-04-25 02:00,SA-382710,M00760,3C家電,Apple Watch S9,12773,信用卡
2026-04-01 20:40,SA-422423,M01296,3C家電,LG 掃地機器人,14740,信用卡
2026-04-05 18:25,SA-419472,M00138,美妝保養,雅詩蘭黛 小棕瓶,3845,LinePay
2026-04-17 06:08,SA-565359,M00283,母嬰用品,Joie 輕量雙向推車,6609,超商貨到付款
2026-04-06 11:15,SA-935867,M00911,3C家電,Nintendo Switch,9333,超商貨到付款
2026-04-18 08:18,SA-594795,M01045,母嬰用品,Joie 輕量雙向推車,6329,超商貨到付款
2026-04-04 14:15,SA-331793,M01159,3C家電,Apple Watch S9,12568,信用卡
2026-04-25 06:56,SA-788828,M00124,3C家電,Dyson 吹風機,13470,信用卡
2026-04-07 09:38,SA-640333,M01266,3C家電,Sony 降噪耳機,10282,超商貨到付款
2026-04-18 05:36,SA-268223,M00681,3C家電,Dyson 吹風機,13248,信用卡
2026-04-27 04:45,SA-768331,M01297,美妝保養,資生堂 百優精純乳霜,2699,信用卡
2026-04-21 06:56,SA-802056,M00250,服飾配件,Levi's 501牛仔褲,3768,超商貨到付款
2026-04-27 09:57,SA-184306,M00915,服飾配件,Nike Air Force 1,3074,超商貨到付款
2026-04-25 23:33,SA-100868,M00834,母嬰用品,貝親 寬口玻璃奶瓶,535,信用卡
2026-04-10 09:34,SA-753986,M00488,服飾配件,Nike Air Force 1,3323,信用卡
2026-04-29 06:16,SA-664733,M00713,3C家電,iPhone 15 Pro,34915,信用卡
2026-04-10 10:26,SA-995716,M00650,服飾配件,G-Shock 經典運動錶,2943,LinePay
2026-04-21 16:06,SA-891991,M00836,服飾配件,Levi's 501牛仔褲,3654,街口支付
2026-04-29 22:16,SA-315340,M01119,美妝保養,SK-II 青春露,5657,信用卡
2026-04-22 04:33,SA-228345,M00870,3C家電,Sony 降噪耳機,10202,信用卡
2026-04-05 02:54,SA-115309,M00068,3C家電,iPhone 15 Pro,33900,ATM轉帳
2026-04-13 20:35,SA-371438,M00564,母嬰用品,貝親 寬口玻璃奶瓶,545,LinePay
2026-04-18 01:12,SA-267855,M01464,3C家電,Sony 降噪耳機,10542,信用卡
2026-04-19 02:36,SA-685340,M00617,3C家電,iPhone 15 Pro,36118,信用卡
2026-04-10 22:24,SA-381594,M00545,服飾配件,Levi's 501牛仔褲,3717,信用卡
2026-04-26 16:12,SA-882647,M01446,服飾配件,G-Shock 經典運動錶,2882,超商貨到付款
2026-04-06 15:45,SA-745505,M00810,美妝保養,蘭蔻 極光水,3276,信用卡
2026-04-05 01:08,SA-107221,M00877,服飾配件,Uniqlo 極暖發熱衣,751,信用卡
2026-04-13 06:52,SA-376076,M01272,美妝保養,資生堂 百優精純乳霜,2678,信用卡
2026-04-15 10:06,SA-500802,M01142,生活居家,TOTO 溫水洗淨便座,9422,超商貨到付款
2026-04-13 09:22,SA-412406,M01270,保健食品,桂格 大燕麥片,219,信用卡
2026-04-12 22:41,SA-670210,M00782,3C家電,Sony 降噪耳機,10310,LinePay
2026-04-02 17:47,SA-722597,M00019,服飾配件,Levi's 501牛仔褲,3837,信用卡
2026-04-21 10:14,SA-977293,M01117,服飾配件,Nike Air Force 1,3377,街口支付
2026-04-21 07:14,SA-965739,M00183,服飾配件,Nike Air Force 1,3277,超商貨到付款
2026-04-24 04:31,SA-855968,M00171,生活居家,宜得利 N-COOL涼感床墊,1218,街口支付
2026-04-24 16:45,SA-291668,M00843,服飾配件,Ray-Ban 飛行員太陽眼鏡,5536,信用卡
2026-04-16 15:33,SA-330009,M00711,3C家電,Sony 降噪耳機,10756,LinePay
2026-04-08 15:38,SA-438522,M00663,生活居家,無印良品 PP收納盒,405,LinePay
2026-04-16 10:19,SA-948210,M00510,3C家電,Nintendo Switch,8984,信用卡
2026-04-04 15:50,SA-711987,M01344,服飾配件,Nike Air Force 1,3112,信用卡
2026-04-23 13:58,SA-220183,M00215,母嬰用品,Joie 輕量雙向推車,6390,信用卡
2026-04-16 20:32,SA-413146,M00673,3C家電,LG 掃地機器人,14871,超商貨到付款
