客訴單號,會員等級,客訴內容,處理狀態,建檔日期
TK-36132,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-10 09:00
TK-85774,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,處理中,2026-05-15 19:00
TK-51353,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-06 04:00
TK-19455,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-11 19:00
TK-97835,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-05 15:00
TK-85386,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-10 20:00
TK-73232,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,處理中,2026-05-10 05:00
TK-35999,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,已結案,2026-05-05 21:00
TK-81044,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-10 10:00
TK-31604,VVIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,處理中,2026-05-08 06:00
TK-57879,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-12 01:00
TK-32039,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,已結案,2026-05-06 01:00
TK-67423,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-02 02:00
TK-49131,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-11 03:00
TK-85729,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-13 16:00
TK-58068,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-08 05:00
TK-36936,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-08 00:00
TK-31969,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-11 18:00
TK-82515,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-13 08:00
TK-53518,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-10 21:00
TK-86933,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-11 01:00
TK-98470,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,處理中,2026-05-11 01:00
TK-23766,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,處理中,2026-05-04 07:00
TK-93729,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-05 04:00
TK-78527,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-13 13:00
TK-68597,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-04 02:00
TK-40793,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-01 00:00
TK-26440,VVIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-15 20:00
TK-39117,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,已結案,2026-05-08 02:00
TK-22260,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-07 10:00
TK-26480,VVIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-01 22:00
TK-35986,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-13 08:00
TK-78062,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-12 17:00
TK-93250,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-01 07:00
TK-33110,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-12 20:00
TK-54687,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-14 22:00
TK-82333,VVIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-15 04:00
TK-89487,VVIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-08 16:00
TK-18656,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,處理中,2026-05-15 06:00
TK-69671,VVIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-04 13:00
TK-15075,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,已結案,2026-05-15 19:00
TK-27437,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-09 05:00
TK-44017,VVIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-05 09:00
TK-82576,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-02 04:00
TK-68880,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-15 12:00
TK-77047,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-07 08:00
TK-84728,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-09 06:00
TK-43317,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-08 11:00
TK-15984,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-07 11:00
TK-29848,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-03 14:00
TK-48319,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-03 08:00
TK-53934,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-08 23:00
TK-52366,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-03 14:00
TK-25630,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-15 06:00
TK-48253,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-15 01:00
TK-99816,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-07 10:00
TK-37493,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-07 20:00
TK-63895,VVIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-15 19:00
TK-74797,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-01 09:00
TK-51537,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-11 04:00
TK-79959,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-09 14:00
TK-51264,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-12 00:00
TK-40191,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-12 15:00
TK-21845,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-08 20:00
TK-70118,VVIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-03 13:00
TK-45282,VVIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-06 08:00
TK-93515,一般會員,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,處理中,2026-05-07 01:00
TK-12714,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-02 16:00
TK-64009,VVIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-10 13:00
TK-81707,VIP,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-06 09:00
TK-55562,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-03 05:00
TK-78197,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-09 02:00
TK-42732,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-06 03:00
TK-33647,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,已結案,2026-05-01 16:00
TK-37120,VVIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,已結案,2026-05-07 06:00
TK-78336,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-15 20:00
TK-44587,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-06 05:00
TK-67849,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-12 15:00
TK-79364,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,已結案,2026-05-01 08:00
TK-89507,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-10 00:00
TK-59066,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,已結案,2026-05-15 10:00
TK-75675,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,處理中,2026-05-11 03:00
TK-45821,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-14 22:00
TK-80463,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-04 01:00
TK-84737,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-13 14:00
TK-53144,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-12 10:00
TK-35926,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,處理中,2026-05-05 06:00
TK-13018,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-01 14:00
TK-18097,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-15 05:00
TK-95438,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-13 08:00
TK-93611,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-14 06:00
TK-70368,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-01 05:00
TK-52506,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-04 06:00
TK-22879,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-13 16:00
TK-88670,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-02 10:00
TK-51053,VVIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-08 16:00
TK-62565,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-12 02:00
TK-40612,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-02 08:00
TK-37106,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-02 20:00
TK-80369,VVIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-15 20:00
TK-54445,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-12 15:00
TK-62627,VVIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-11 10:00
TK-49145,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,處理中,2026-05-10 16:00
TK-65456,VVIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-04 22:00
TK-62630,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-14 22:00
TK-43324,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,處理中,2026-05-04 01:00
TK-21799,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-09 08:00
TK-66650,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,處理中,2026-05-11 18:00
TK-36795,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,已結案,2026-05-11 19:00
TK-68180,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-05 01:00
TK-47317,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-06 12:00
TK-99607,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-10 00:00
TK-40067,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-15 10:00
TK-95040,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-15 20:00
TK-85987,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,已結案,2026-05-03 15:00
TK-66468,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-02 15:00
TK-45616,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,已結案,2026-05-04 04:00
TK-75336,VIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-14 14:00
TK-88354,VIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-03 21:00
TK-65302,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-15 15:00
TK-50608,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-11 19:00
TK-72313,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-12 11:00
TK-71929,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-10 00:00
TK-58987,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-04 16:00
TK-37583,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-08 20:00
TK-59995,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,已結案,2026-05-07 00:00
TK-73000,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-11 21:00
TK-93434,一般會員,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,未處理,2026-05-01 01:00
TK-59916,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-03 03:00
TK-96682,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-03 22:00
TK-74335,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-08 05:00
TK-62069,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-15 20:00
TK-48636,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-09 22:00
TK-71986,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-04 13:00
TK-96947,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-01 19:00
TK-68454,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-07 23:00
TK-74969,VVIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-08 07:00
TK-41082,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-13 18:00
TK-76443,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-10 22:00
TK-26152,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-15 18:00
TK-51016,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-06 02:00
TK-52492,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-04 07:00
TK-18263,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-12 00:00
TK-69736,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-01 12:00
TK-46118,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-14 02:00
TK-54073,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-07 21:00
TK-97982,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,處理中,2026-05-07 19:00
TK-94889,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-15 13:00
TK-63282,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,處理中,2026-05-11 15:00
TK-11249,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-11 17:00
TK-15616,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,已結案,2026-05-12 22:00
TK-34443,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-02 14:00
TK-54281,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-09 00:00
TK-25569,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-04 05:00
TK-71049,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-07 06:00
TK-51301,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-13 09:00
TK-13691,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-03 04:00
TK-93550,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-03 01:00
TK-78163,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-10 16:00
TK-37527,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,處理中,2026-05-04 17:00
TK-65529,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-12 07:00
TK-13628,VVIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-01 20:00
TK-70070,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-15 18:00
TK-46475,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-07 11:00
TK-39404,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-09 03:00
TK-57774,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-02 17:00
TK-91133,VIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,處理中,2026-05-09 08:00
TK-26026,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-04 15:00
TK-82322,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-13 20:00
TK-16013,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-01 17:00
TK-65442,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-04 22:00
TK-46569,VVIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-10 16:00
TK-24787,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-13 20:00
TK-51126,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-08 13:00
TK-18014,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-03 00:00
TK-46349,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,處理中,2026-05-14 20:00
TK-88638,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-13 12:00
TK-61040,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-04 12:00
TK-75594,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-02 20:00
TK-86765,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-13 01:00
TK-31034,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-14 02:00
TK-77803,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-11 19:00
TK-60136,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-14 15:00
TK-98574,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-08 22:00
TK-85641,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-15 07:00
TK-60796,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-14 17:00
TK-88506,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-09 07:00
TK-32510,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,處理中,2026-05-13 04:00
TK-94276,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-01 20:00
TK-57853,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-03 12:00
TK-52739,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-04 00:00
TK-52545,VVIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-13 20:00
TK-36514,VIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-12 13:00
TK-13624,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-01 21:00
TK-68627,VVIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-12 00:00
TK-32484,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-15 13:00
TK-75966,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,處理中,2026-05-12 04:00
TK-63282,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-14 02:00
TK-58519,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-13 16:00
TK-53034,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-07 16:00
TK-66925,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-07 14:00
TK-51361,VIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,已結案,2026-05-13 12:00
TK-35385,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,已結案,2026-05-05 04:00
